,,140,,,,,,,,
,,COMICS,,,,,,,,Series Names
,S.NO.,TITLE,PRICE,GENRE,BOOK CODE,ACC #,SERIES,DATE OF ADDITION,,Amar Chitra Katha
,59,Tipu Sultan,35,Amar Chitra Katha,CACK21,C059,,17-Apr-2018,,
,60,Tinkle: Paws and Claws,125,Tinkle,CTINK30,C060,,17-Apr-2018,,
,61,Mahatma Gandhi,70,Amar Chitra Katha,CACK22,C061,Visionaries,17-Apr-2018,,
,62,Raja Raja Chola,40,Amar Chitra Katha,CACK23,C062,,17-Apr-2018,,
,63,Basaveshwara (2nd copy),50,Amar Chitra Katha,CACK24,C063,,17-Apr-2018,,
,64,Kalpana Chawla (The First Indian Woman in Space),35,Amar Chitra Katha,CACK25,C064,Bravehearts,17-Apr-2018,,
,65,Krishna and the False Vaasudeva,40,Amar Chitra Katha,CACK26,C065,,17-Apr-2018,,
,66,Jamsetji Tata (2nd copy),50,Amar Chitra Katha,CACK27,C066,,17-Apr-2018,,
,67,Panchatantra: The Brahmin and the Goat,35,Amar Chitra Katha,CACK28,C067,,17-Apr-2018,,
,68,Buddha,50,Amar Chitra Katha,CACK29,C068,,17-Apr-2018,,
,69,Marie and Pierre Curie,50,Amar Chitra Katha,CACK30,C069,,17-Apr-2018,,
,70,Tinkle: Simply Suppandi,40,Tinkle,CTINK31,C070,,17-Apr-2018,,
,71,Brave Women of India,250,Amar Chitra Katha,CACK31,C071,,04-Jul-2018,,
,72,Sahasramalla (Trickster and Thief - A Jain Tale),50,Amar Chitra Katha,CACK32,C072,Fables and Humour,12-Jul-2018,,
,73,"Chanakya, the Kingmaker",50,Amar Chitra Katha,CACK33,C073,Visionaries,12-Jul-2018,,
,74,The Fearless Boy (Buddhist Tales),50,Amar Chitra Katha,CACK34,C074,Fables and Humour,12-Jul-2018,,
,75,Kesari the Flying Thief (Tales of Enlightenment),50,Amar Chitra Katha,CACK35,C075,Fables and Humour,12-Jul-2018,,
,76,The Greedy Mother-in-law (Panchatantra Tales that Counsel and Caution),50,Amar Chitra Katha,CACK36,C076,Fables and Humour,12-Jul-2018,,
,77,The Acrobat (A Collection of Buddhist Tales),40,Amar Chitra Katha,CACK37,C077,Fables and Humour,12-Jul-2018,,
,78,The Priceless Gem (A Jataka Tale - Adventures of a Bodhisattva at Court),50,Amar Chitra Katha,CACK38,C078,Fables and Humour,12-Jul-2018,,
,79,Subramania Bharati (The Tamil Voice of Freedom),40,Amar Chitra Katha,CACK39,C079,Visionaries,12-Jul-2018,,
,80,Kunwar Singh (His age was no bar to his passion for freedom),35,Amar Chitra Katha,CACK40,C080,Bravehearts,12-Jul-2018,,
,81,Adi Shankara (A light in the darkness),50,Amar Chitra Katha,CACK41,C081,Visionaries,12-Jul-2018,,
,82,Tenzing Norgay (On Top of the World),50,Amar Chitra Katha,CACK42,C082,Bravehearts,12-Jul-2018,,
,83,Srinivasa Ramanujan (Man of Mathematics),50,Amar Chitra Katha,CACK43,C083,Visionaries,12-Jul-2018,,
,84,Kalidasa (Master Poet and Dramatist),35,Amar Chitra Katha,CACK44,C084,Visionaries,12-Jul-2018,,
,85,JRD Tata (The Quiet Conquerer),50,Amar Chitra Katha,CACK45,C085,Visionaries,12-Jul-2018,,
,86,Rana Sanga (The Valiant Warrior King),50,Amar Chitra Katha,CACK46,C086,Bravehearts,12-Jul-2018,,
,87,Rani Abbakka (The Queen Who Knew No Fear),50,Amar Chitra Katha,CACK47,C087,Bravehearts,12-Jul-2018,,
,88,The Rani of Kittur (The Defiant Queen),50,Amar Chitra Katha,CACK48,C088,Bravehearts,12-Jul-2018,,
,89,Subhas Chandra Bose (Born to Lead),50,Amar Chitra Katha,CACK49,C089,Bravehearts,12-Jul-2018,,
,90,The Sons of Rama (Luv and Kush - The Invincible Twins),40,Amar Chitra Katha,CACK50,C090,Epics and Mythology,12-Jul-2018,,
,91,Kumbhakarna (The Sleeping Giant),40,Amar Chitra Katha,CACK51,C091,Epics and Mythology,12-Jul-2018,,
,92,Padmini (A Tale of Love and Honour),50,Amar Chitra Katha,CACK52,C092,Bravehearts,12-Jul-2018,,
,93,Beni Madho and Pir Ali (Heroes of 1857),40,Amar Chitra Katha,CACK53,C093,Bravehearts,12-Jul-2018,,
,94,Tales Told by Sri Ramakrishna,100,Amar Chitra Katha,CACK54,C094,3-IN-1,12-Jul-2018,,
,95,Animal Tales of India,100,Amar Chitra Katha,CACK55,C095,3-IN-1,12-Jul-2018,,
,96,More Buddhist Tales,100,Amar Chitra Katha,CACK56,C096,3-IN-1,12-Jul-2018,,
,97,Ghatotkacha (The Chivalrous Demon),40,Amar Chitra Katha,CACK57,C097,Epics and Mythology,12-Jul-2018,,
,98,The Syamantaka Gem (The Sun-God's Precious Ornament),40,Amar Chitra Katha,CACK58,C098,Epics and Mythology,12-Jul-2018,,
,99,Bhanumati (Granddaughter of Krishna),50,Amar Chitra Katha,CACK59,C099,Epics and Mythology,12-Jul-2018,,
,100,Tales of Vishnu (The Gentle God),40,Amar Chitra Katha,CACK60,C100,Epics and Mythology,12-Jul-2018,,
,101,The Magic Grove (A Jain Tale About Destiny),50,Amar Chitra Katha,CACK61,C101,Fables and Humour,12-Jul-2018,,
,102,Jnaneshwar (Founder of the Bhakti Movement in Maharashtra),40,Amar Chitra Katha,CACK62,C102,Visionaries,12-Jul-2018,,
,103,Lal Bahadur Shastri (The Gentle Warrior),40,Amar Chitra Katha,CACK63,C103,Visionaries,12-Jul-2018,,
,104,Tulsidas (The Poet Who Wrote Ram-Charit-Manas),40,Amar Chitra Katha,CACK64,C104,Visionaries,12-Jul-2018,,
,105,Guru Gobind Singh (The Tenth Sikh Guru),40,Amar Chitra Katha,CACK65,C105,Visionaries,12-Jul-2018,,
,106,Rabindranath Tagore (India's Gentle Torch-bearer),35,Amar Chitra Katha,CACK66,C106,Visionaries,12-Jul-2018,,
,107,Swami Chinmayananda (Modern Life Meets Ancient Wisdom),35,Amar Chitra Katha,CACK67,C107,Visionaries,12-Jul-2018,,
,108,Soordas (The Blind Bard),40,Amar Chitra Katha,CACK68,C108,Visionaries,12-Jul-2018,,
,109,Mother Teresa (Little Acts of Love),40,Amar Chitra Katha,CACK69,C109,Visionaries,12-Jul-2018,,
,110,Buddha (He Lit the Path),40,Amar Chitra Katha,CACK70,C110,Visionaries,12-Jul-2018,,
,111,Jim Corbett (Friend of the Wild),40,Amar Chitra Katha,CACK71,C111,Visionaries,12-Jul-2018,,
,112,Velu Thampi (The Courageous Diwan of Travancore),50,Amar Chitra Katha,CACK72,C112,Bravehearts,12-Jul-2018,,
,113,Surjya Sen (The Chittagong Uprising),50,Amar Chitra Katha,CACK73,C113,Bravehearts,12-Jul-2018,,
,114,Bagha Jatin (The 'Tiger' Revolutionary),40,Amar Chitra Katha,CACK74,C114,Bravehearts,12-Jul-2018,,
